peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1412	2	0	2	0	2	0
peak.1413	1	1	1	0	2	1
peak.1414	1	0	1	0	2	0
peak.1415	3	2	3	0	0	0
peak.1416	1	0	1	0	1	1
peak.1417	1	0	1	0	2	0
peak.1418	1	0	1	0	0	0
peak.1419	5	0	4	0	0	0
peak.142	1	0	2	0	2	1
peak.1420	2	1	2	1	0	1
peak.1421	0	0	0	0	0	2
peak.1422	1	1	2	0	0	0
peak.1423	2	0	2	0	1	0
peak.1424	0	0	0	0	1	1
peak.1425	3	0	3	0	3	2
peak.1426	2	0	2	1	0	0
peak.1427	4	3	4	0	0	1
peak.1428	0	0	0	0	0	0
peak.1429	0	2	1	0	0	0
peak.143	1	0	0	0	0	1
peak.1430	1	0	1	0	3	4
peak.1431	1	0	2	0	0	0
peak.1432	1	0	1	0	2	0
peak.1434	0	0	1	0	1	0
peak.1435	1	0	2	0	0	0
peak.1436	1	0	1	0	1	3
peak.1437	0	0	0	0	1	1
peak.1438	1	0	1	0	1	0
peak.1439	2	0	2	0	0	0
peak.144	3	2	3	0	1	0
peak.1440	1	0	3	0	1	0
peak.1441	0	0	0	0	0	0
peak.1442	1	0	1	0	0	0
peak.1443	1	0	1	0	0	0
peak.1444	2	0	2	1	1	1
peak.1445	2	3	2	0	0	1
peak.1446	0	0	0	1	1	0
peak.1447	1	2	1	0	0	0
peak.1448	2	1	2	0	1	1
peak.1449	0	0	0	0	0	0
peak.145	2	0	2	0	0	0
peak.1450	2	0	2	0	0	0
peak.1451	2	0	1	0	1	2
peak.1452	1	0	1	0	0	0
peak.1453	1	1	1	0	1	0
peak.1454	0	0	0	0	0	0
peak.1455	1	1	0	1	0	0
peak.1456	1	0	1	0	1	0
peak.1457	1	0	1	0	2	2
peak.1458	1	0	1	0	0	0
peak.1459	0	0	0	0	1	0
peak.146	2	0	2	0	0	0
peak.1460	0	0	1	0	1	0
peak.1461	1	0	2	0	0	1
peak.1462	2	0	2	0	0	0
peak.1463	3	0	3	0	2	0
peak.1464	3	1	2	0	0	0
peak.1465	0	0	0	2	1	0
peak.1466	1	0	1	0	2	0
peak.1467	1	0	1	1	1	1
peak.1468	4	0	3	0	1	0
peak.1469	3	0	3	0	0	0
peak.147	1	1	1	0	0	0
peak.1470	0	1	0	0	0	1
peak.1471	1	0	1	1	0	0
peak.1472	2	0	2	0	0	0
peak.1473	0	0	0	0	0	1
peak.1474	2	1	2	1	0	1
peak.1475	2	2	3	0	0	0
peak.1476	2	0	2	0	2	0
peak.1477	2	0	1	0	1	0
peak.1478	2	0	2	0	1	1
peak.1479	1	1	1	1	2	1
peak.148	2	1	2	1	2	1
peak.1480	3	0	3	0	0	0
peak.1481	1	0	2	0	0	0
peak.1482	1	0	1	0	0	0
peak.1483	0	0	0	0	1	1
peak.1484	3	0	2	0	2	0
